類別,雜訊字詞,出現次數
2_分區,商南機場社宅門市,3
2_分區,統一超商留公門市,3
2_分區,全家仁武水管門市,3
2_分區,雲林廠,3
2_分區,eMart-門市,3
2_分區,統一超商德陽門市,3
2_分區,霧峰廠,3
2_分區,本廠,3
2_分區,富亦門市,3
2_分區,統一超商文東門市,3
2_分區,士林分公司,3
2_分區,東湖分公司,3
2_分區,宜蘭分公司,3
2_分區,竹南分公司,3
2_分區,★泰國廠,3
2_分區,_汽車飾件大廠,3
2_分區,豐原分公司,3
2_分區,北高雄分公司,3
2_分區,南區分公司,3
2_分區,桃一廠,3
2_分區,☆桃園新廠,3
2_分區,-S2A廠,3
2_分區,7-11擎天門市,3
2_分區,全家福華門市,3
2_分區,ne麵包連鎖門市,3
2_分區,板橋門市,3
2_分區,高雄門市,3
2_分區,班正職_功興門市,3
2_分區,林口食品廠,3
2_分區,程師_光電大廠,3
2_分區,11永芳門市,3
2_分區,7-11樂平門市,3
2_分區,-11好家庭門市,3
2_分區,7-11暘民門市,3
2_分區,橋頭五里林店門市,3
2_分區,行政門市,3
2_分區,工程師-后科廠,3
2_分區,西屯市,3
2_分區,台積電外包廠,3
2_分區,驗可｜穩定大廠,3
2_分區,工程師-外埔廠,3
2_分區,職夥伴】士林門市,3
2_分區,經驗可)直營門市,3
2_分區,85C門市,3
2_分區,台中門市,3
2_分區,七彩雲南南平門市,3
2_分區,竹)派駐科技廠,3
2_分區,苗栗服務廠,3
2_分區,大園紙器廠,3
2_分區,忠孝廠,3
2_分區,職✨蝦皮智取門市,3
2_分區,大內,3
2_分區,漢堡大安延吉門市,3
2_分區,時人員/餐飲門市,3
2_分區,pple產品門市,3
2_分區,新門市,3
2_分區,雲林營業所,3
2_分區,-食品調理廠,3
2_分區,七彩雲南伍陽門市,3
2_分區,名車用電子大廠,3
2_分區,🍤蝦皮店到店門市,3
2_分區,驗可】ABB門市,3
2_分區,★排班彈性】門市,3
2_分區,台北內湖堤頂分店,3
2_分區,北區區,3
2_分區,7-11春流門市,3
2_分區,金另計】桃園門市,3
2_分區,管理師｜林口廠,3
2_分區,梧棲廠,3
2_分區,《大溪廠,3
2_分區,七彩雲南三民門市,3
2_分區,主管_電源大廠,3
2_分區,自由分公司,3
2_分區,樹林店_保養廠,3
2_分區,沙鹿店_保養廠,3
2_分區,中壢店_保養廠,3
2_分區,桃園服務廠,3
2_分區,竹北店｜服務廠,3
2_分區,班彈性】台中門市,3
2_分區,/高雄)#新廠,3
2_分區,中華廠,3
2_分區,預製廠,3
2_分區,彈性】ABQ門市,3
2_分區,三重廠,3
2_分區,上市公司-駐廠,3
2_分區,板橋分公司,3
2_分區,台北101門市,3
2_分區,"日,夜班工廠",3
2_分區,市大甲區大甲分公司,3
2_分區,湖)_電腦大廠,3
2_分區,●台哥大直營門市,3
2_分區,_汽車電子大廠,3
2_分區,⾏⾞電控系統廠,3
2_分區,)_PCB大廠,3
2_分區,新莊廠,3
2_分區,車體廠,3
2_分區,屏東工廠,3
2_分區,日商半導體原廠,3
2_分區,新竹店_保養廠,3
2_分區,維修廠,3
2_分區,鹿港平板廠,3
2_分區,員-城西營運廠,3
2_分區,彰化科技廠,3
2_分區,中華路：科技廠,3
2_分區,頭份服務廠,3
2_分區,斗南廠,3
2_分區,:30開放到廠,3
2_分區,學甲區,3
2_分區,_電子零件大廠,3
2_分區,食品工廠】二廠,3
2_分區,_系統整合大廠,3
2_分區,仁義廠,3
2_分區,行車記錄器原廠,3
2_分區,寵物門市,3
2_分區,兼)門市,3
2_分區,蘆洲廠,3
2_分區,湖口二廠,3
2_分區,高雄服務處,3
2_分區,-廠,3
2_分區,exus保養廠,3
2_分區,AF特約保養廠,3
2_分區,)-保養廠,3
2_分區,宜蘭服務廠,3
2_分區,安平廠,3
2_分區,知名半導體大廠,3
2_分區,平溪區,3
2_分區,八德服務廠,3
2_分區,湖內廠,3
2_分區,台南南科廠,3
2_分區,三重分公司,3
2_分區,湖口三廠,3
2_分區,電動車品牌｜門市,3
2_分區,程】覆晶封裝廠,3
2_分區,竹竹東】電子廠,3
2_分區,_機械設備大廠,3
2_分區,林口文化店】門市,3
2_分區,林口仁愛店】門市,3
2_分區,南港廠,3
2_分區,長_PCB大廠,3
2_分區,三峽廠,3
2_分區,自動化設備大廠,3
2_分區,一廠,3
2_分區,駐苗栗通宵電廠,3
2_分區,環安廠務類】廠,3
2_分區,銅鑼污水廠,3
2_分區,頭份店｜服務廠,3
2_分區,新營店_保養廠,3
2_分區,崇德店_保養廠,3
2_分區,板橋店_保養廠,3
2_分區,八德店_保養廠,3
2_分區,國泰店_保養廠,3
2_分區,巡檢人員-原廠,3
2_分區,石岡,3
2_分區,高雄路竹廠,3
2_分區,系統廚櫃直營門市,3
2_分區,下營,3
2_分區,2H)-竹北廠,3
2_分區,台南後壁蘭科廠,3
2_分區,壢區】知名車廠,3
2_分區,員-橋頭營運廠,3
2_分區,園區污水處理廠,3
2_分區,新聖明門市,2
2_分區,7-11資砡門市,2
2_分區,民生東路門市,2
2_分區,C封裝代工大廠,2
2_分區,忠孝門市,2
2_分區,后里記憶體大廠,2
2_分區,宜蘭新城廠,2
2_分區,林口三井二期門市,2
2_分區,l店,2
2_分區,｜日班｜五股廠,2
2_分區,｜夜班｜五股廠,2
2_分區,新北滅菌廠,2
2_分區,)公司_民族廠,2
2_分區,)公司_清水廠,2
2_分區,巧克力專門店門市,2
2_分區,雙北地區分店,2
2_分區,區諮詢藥師_門市,2
2_分區,傢具門市,2
2_分區,新竹巨城門市,2
2_分區,統一超商富有門市,2
2_分區,加盟店徵晚班門市,2
2_分區,7-11岩投門市,2
2_分區,統一超商忠福門市,2
2_分區,統一超商道成門市,2
2_分區,兼職超商晚班門市,2
2_分區,內衣門市,2
2_分區,銷售/專櫃/門市,2
2_分區,大林店】直營門市,2
2_分區,★廠,2
2_分區,⭐南廠,2
2_分區,知名自行車大廠,2
2_分區,區）聯合招募門市,2
2_分區,️平鎮電子大廠,2
2_分區,_兼職大夜班門市,2
2_分區,店_午班兼職門市,2
2_分區,7-11夜班門市,2
2_分區,赤山門市,2
2_分區,7-11復安門市,2
2_分區,長城門市,2
2_分區,統一超商哨臨門市,2
2_分區,隆恩門市,2
2_分區,✦超商晚班門市,2
2_分區,林口長庚門市,2
2_分區,所-桃園八德門市,2
2_分區,西門門市,2
2_分區,鳳城門市,2
